Country,suicides/100k_pop,gdp_per_capita ($),percentage of elderly(%),Education index,"Inflation, consumer prices (annual %)",Unemployment Rate
Albania,3.137272727272727,1859.0454545454545,2.747816426660816,0.5946842105263158,23.099077853473684,17.873947445263155
Antigua and Barbuda,0.5411111111111111,10448.185185185184,3.1791964087596196,0.6654444444444445,1.7538786739999999,
Argentina,7.910645161290322,7914.096774193548,4.312277065619066,0.739,,11.297239990000001
Armenia,2.4752,1886.68,3.7421464578516725,0.683625,182.5176784396,11.53739132573913
Aruba,8.096428571428572,24221.64285714286,3.2502272535293812,,3.405964677785714,
Australia,13.012,32776.4,5.754054544157286,0.89608,2.73655915532,6.822916627041667
Austria,20.708750000000002,34328.0,7.72161062382969,0.7582307692307692,2.1557277493461537,4.80160000808
Azerbaijan,1.4849999999999999,1005.125,2.0029443240913962,0.6394545454545454,231.23447961664283,7.667999974733333
Bahamas,1.4060869565217389,25836.391304347828,2.301364818918596,0.7162142857142857,,
Bahrain,2.896190476190476,18039.52380952381,0.861890196128614,0.6486666666666667,1.4863719982777779,1.1186666818333333
Barbados,2.9419999999999997,12251.0,5.795366622239548,0.7032499999999999,3.87140871925,13.224052629789474
Belarus,30.231428571428573,3333.904761904762,5.273904504369281,0.730875,279.89371391877773,10.063550025000001
Belgium,20.746774193548386,32066.74193548387,7.8852939079566,0.8318076923076922,2.0469076236153847,7.97319990156
Belize,5.164642857142858,4006.464285714286,1.7168524159226604,0.5896399999999999,,10.072499989958333
Bosnia and Herzegovina,4.355,5077.5,5.886402971771336,0.6565000000000001,1.3870279730000001,27.55000019
Brazil,4.570967741935483,6091.4838709677415,2.01064154209309,0.5779230769230769,328.46328131838465,7.829923095769231
Bulgaria,15.541,3640.4333333333334,6.336680745174419,0.70124,78.50550938244,12.322083353708335
Cabo Verde,9.29,4124.0,2.7723534264085683,,4.473883422,10.88300037
Canada,13.13103448275862,30887.48275862069,5.81922981725718,0.8277916666666667,2.0951608976666667,8.146521733913044
Chile,9.24741935483871,7493.064516129032,3.249570424142959,0.6941923076923077,6.534427111423077,7.91320003528
Colombia,4.674838709677419,3708.967741935484,1.9835185116986969,0.5530769230769231,11.651685798192307,11.427307666
Costa Rica,6.519,5149.7,2.3224692335159447,0.60144,12.0932394988,6.251666684833334
Croatia,20.065454545454546,10375.181818181818,7.012705572944034,0.7012857142857143,2.9920549681904762,12.968666758666668
Cuba,16.537916666666668,4351.166666666667,4.985260068480809,0.7167916666666666,,4.308666646583333
Cyprus,3.5573333333333332,27639.666666666668,5.864579217540048,0.7525000000000001,1.7534185994285714,7.897142887428572
Czech Republic,16.547777777777778,12413.592592592593,6.196335156854925,0.7620384615384614,4.905399865666667,6.00440001488
Denmark,13.702727272727271,49299.90909090909,7.552997033894746,0.8579545454545454,1.9568857253181817,5.7949999895
Dominica,0.0,1485.0,2.86144578313253,,,
Ecuador,5.890645161290322,3286.2580645161293,2.1852166424561137,0.6050384615384615,22.778002967384616,4.312038452807692
El Salvador,9.442083333333334,2550.6666666666665,2.4059754017507085,0.5044166666666666,5.873359051166666,6.464347828869566
Estonia,25.744761904761905,11376.095238095239,7.167226212717781,0.8282857142857142,6.24319460304762,9.897618974285715
Fiji,3.706363636363636,3913.2727272727275,1.2643452000884539,0.7065454545454546,3.9327318065454544,4.068727276636364
Finland,23.900344827586206,35468.275862068964,7.240935225244457,0.8231923076923077,1.8683584982307693,10.54000003824
France,19.809666666666665,31481.466666666667,8.11394448797421,0.74528,1.7182234092800002,9.854999919125
Georgia,3.47,1893.1363636363637,5.309841103245451,0.7711538461538462,16.441018844222224,13.535714205571429
Germany,14.405384615384616,35164.230769230766,8.301293382759003,0.8438461538461539,1.9070038417692308,7.796922964730769
Greece,3.9183870967741936,17019.387096774193,7.625163668645809,0.7158461538461539,5.7029823531153845,12.56040000892
Grenada,1.6392307692307695,6239.076923076923,3.6344087112494723,0.7056428571428571,2.4978446005454544,
Guatemala,2.5816666666666666,2263.5333333333333,1.5844774115308737,0.3792307692307692,9.304906956461538,2.85408000952
Guyana,20.566799999999997,1674.92,1.598226175974107,0.5536521739130434,5.748052563722222,11.70936359090909
Hungary,29.616923076923076,9396.192307692309,6.753749619331519,0.7544,10.84857347336,8.550000019279999
Iceland,13.2140625,39407.21875,5.638712861311122,0.8049615384615384,4.884235718807693,4.10800000672
Ireland,11.453333333333335,34230.86666666667,5.125148913532272,0.80448,2.354403342,9.732916563291667
Israel,6.683225806451613,23125.451612903227,4.716137424134916,0.8194615384615385,5.4560163052307695,9.99560003232
Italy,7.7135483870967745,26602.58064516129,8.465943271631698,0.7159615384615385,2.8116583058846154,9.82639993728
Jamaica,0.44294117647058817,3301.235294117647,3.897581767325883,0.6024166666666667,14.3412215945,12.940908952727273
Japan,21.885483870967743,36397.54838709677,8.155328333226143,0.7671153846153846,0.4771518551153846,4.01000000956
Kazakhstan,27.041153846153847,5329.115384615385,2.6292194065087324,0.7236153846153847,102.6363361069091,7.67119997988
Kiribati,7.434545454545455,875.9090909090909,1.1718207299019399,0.536,,
Kuwait,1.722,27819.0,0.45127545558041304,0.5763181818181818,2.965049148863636,1.3675000017272727
Kyrgyzstan,11.552692307692308,720.7307692307693,2.06918865828553,0.6624230769230769,,
Latvia,27.994285714285713,8961.095238095239,7.080611799579789,0.783142857142857,5.851487843571429,13.341428551809523
Lithuania,40.73681818181819,9329.5,7.152628582320724,0.8082380952380952,5.615682602142857,12.410476254047618
Luxembourg,15.51032258064516,68798.3870967742,6.5047408040790256,0.7159615384615385,2.165273455230769,3.80079998976
Macau,7.79,18081.0,2.807163345279937,,,
Maldives,0.702,5088.9,1.235208364174167,0.45940000000000003,3.8290236573,7.0850000387
Malta,5.072903225806451,14044.41935483871,5.4221020209355135,0.6906923076923076,2.4595397303461537,6.4334800148
Mauritius,11.80875,5533.03125,2.468413052768968,0.5904615384615385,6.039530842461539,8.59827999112
Mexico,3.858709677419355,7138.451612903225,2.148741364215377,0.5732692307692308,10.70806951146154,4.09599998472
Mongolia,19.51,4145.0,1.921674265739492,,,
Montenegro,8.026,4195.6,4.485301885213061,0.7354285714285714,4.8742715415,25.704499817
Netherlands,10.71,35779.21875,6.612390403181978,0.8358461538461538,2.1476372751923076,5.17479997632
New Zealand,14.024482758620689,22279.48275862069,5.502924617642728,0.8687916666666666,2.3527986464999997,6.3834782686521745
Nicaragua,6.353333333333333,2028.8333333333333,2.268242296951422,0.5361666666666667,6.316648201833334,5.672666629166667
Norway,13.376,57319.6,7.8424918433875535,0.8720769230769231,2.1556789483076924,4.09359998704
Oman,0.38666666666666666,20740.666666666668,0.9920903394576205,0.652,2.582577658,3.8616666793333336
Panama,4.9324,6626.52,2.574068766694621,0.6482,2.5285595778000003,3.46344999075
Paraguay,3.6237037037037036,2365.777777777778,1.9473196227046334,0.5460434782608695,10.322604238260869,5.4609091715909095
Philippines,1.9366666666666668,1540.2,1.2559450823161478,0.5847333333333334,5.322605084666666,3.688800017066667
Poland,16.055833333333336,8146.458333333333,5.523955924516808,0.7791666666666667,35.888400821833336,13.051913095260868
Portugal,9.18962962962963,14176.296296296296,7.10444554202413,0.6606363636363637,3.993610800045454,7.730000110190477
Puerto Rico,8.61225806451613,18352.645161290322,5.186360219139512,,,13.3216000752
Qatar,2.618,67697.86666666667,0.3280812820353008,0.6427142857142858,4.659761506071428,0.5387857172857143
Republic of Korea,18.638709677419353,14801.258064516129,2.750770772264005,0.7956923076923077,3.882571393923077,3.2649999930000004
Romania,12.648214285714285,4822.571428571428,5.650489571191359,0.6895384615384615,53.913789998599995,7.0577599715999995
Russian Federation,32.702222222222225,6518.814814814815,5.078455249061214,,75.8930447286087,7.81860002496
Saint Kitts and Nevis,0.0,5525.0,3.8363171355498724,,,
Saint Lucia,5.946071428571429,5789.035714285715,3.6606965690783713,0.616,,
Saint Vincent and Grenadines,5.064,4954.64,3.029342882438394,,,
San Marino,5.14,53663.666666666664,7.779004606532941,,1.685488905,
Serbia,19.141666666666666,4471.277777777777,6.8184842769488405,0.7130555555555556,20.537549352722223,17.50666650111111
Seychelles,7.041666666666667,10655.722222222223,3.3976515743847324,0.6426,6.995314540133333,
Singapore,10.92483870967742,38050.25806451613,2.944110445481141,0.6739615384615385,1.9138009913846155,3.9611538538846154
Slovakia,12.037272727272727,10526.0,4.892730080803794,0.7462727272727272,,
Slovenia,26.416190476190476,18642.238095238095,6.693291370911017,0.8311428571428572,4.873427528380953,6.996190525095239
South Africa,0.8230000000000001,5589.5,1.5480102405992278,0.66535,5.678378701350001,27.6920501715
Spain,8.164516129032258,20982.16129032258,7.4919728140142645,0.7241153846153845,3.0785297025,17.195769243846154
Sri Lanka,30.846363636363638,904.2727272727273,2.320786102681746,0.6776666666666666,9.531784533555557,8.79111125688889
Suriname,18.017857142857142,4351.964285714285,2.1419173518924834,0.5994545454545454,29.336247150000002,10.252090995545455
Sweden,14.999,41436.666666666664,9.068811882147175,0.8415,2.0146705888846155,7.383076867846153
Switzerland,17.625238095238096,62981.76190476191,8.004668672429595,0.8266190476190477,0.5880708393809524,3.910952397809524
Thailand,6.973214285714286,3590.8571428571427,2.6484645730589227,0.5363333333333333,3.434795789083333,1.355173932478261
Trinidad and Tobago,12.897037037037038,8829.037037037036,2.6422610757528413,0.6380909090909092,6.397276718045455,11.502380972714285
Turkey,2.0942857142857143,12134.285714285714,3.213213127038371,0.646,7.742769591428571,9.858571325142858
Turkmenistan,7.673448275862069,2618.103448275862,1.6154306696081648,0.626,,6.645080027520001
Ukraine,24.740000000000002,1867.5357142857142,5.834673733004076,0.73456,288.30726890195456,7.548750092541667
United Arab Emirates,1.7516666666666667,42162.0,0.2513563867057012,0.6453333333333333,6.885036116999999,2.804333289666667
United Kingdom,7.8835483870967735,31908.354838709678,7.837895012971666,0.8275769230769231,2.641086873615385,6.937692275461538
United States,12.83548387096774,39269.6129032258,6.175107030800279,0.8688461538461538,2.5307181903846154,6.099615385038462
Uruguay,15.496071428571428,7622.071428571428,6.017406553577861,0.6724782608695652,19.345249896913042,10.304090868545455
Uzbekistan,7.232272727272728,976.1818181818181,1.749851091558358,0.6561666666666667,,7.6795715094285715
